"搜索词","日期","飙升排名","搜索增长幅度","搜索人数","点击人数","点击率","支付转化率","支付人数","直通车参考价"
"泛禧","2020-04-09~2020-04-15","50","-14.29%","6","4","151.72%","0","0","0"
"lovelily","2020-04-09~2020-04-15","51","-15.79%","16","10","213.64%","0","0","0"
"nhm","2020-04-09~2020-04-15","52","-18.92%","30","14","107.21%","0","0","0"
"樱花花蜜","2020-04-09~2020-04-15","53","-19.32%","142","88","77.88%","2.27%","2","0"
"beehoney","2020-04-09~2020-04-15","54","-20.75%","42","24","50.88%","0","0","0"
"女生礼盒","2020-04-09~2020-04-15","55","-21.43%","11","5","36%","0","0","0"
"樱花蜜","2020-04-09~2020-04-15","56","-21.49%","179","72","47.9%","0","0","0.29"
"樱花蜜日本","2020-04-09~2020-04-15","57","-24.14%","22","6","50%","0","0","0.21"
"篮子礼盒","2020-04-09~2020-04-15","58","-25%","24","18","91.56%","0","0","0.67"
"伴郎礼","2020-04-09~2020-04-15","59","-31.58%","13","12","87.5%","0","0","0"
"only day","2020-04-09~2020-04-15","60","-34.09%","29","15","126.83%","0","0","0"
"手礼","2020-04-09~2020-04-15","61","-34.96%","80","32","118.11%","3.13%","1","0.67"
"饼诞","2020-04-09~2020-04-15","62","-36.51%","40","40","100%","0","0","0"
"礼物球球","2020-04-09~2020-04-15","63","-37.5%","15","6","25%","0","0","0.64"
"伴沫","2020-04-09~2020-04-15","64","-40.91%","13","2","19.23%","0","0","0"
"泡沫球礼盒","2020-04-09~2020-04-15","65","-43.01%","155","88","73.32%","4.55%","4","0.71"
"拉芙里","2020-04-09~2020-04-15","66","-43.75%","27","17","200%","0","0","0"
"礼盒流星球","2020-04-09~2020-04-15","67","-47.06%","36","24","46.48%","12.5%","3","0.84"
"淡水间","2020-04-09~2020-04-15","68","-48.98%","50","36","246.58%","2.78%","1","0"
"婚加","2020-04-09~2020-04-15","69","-50%","7","1","123.08%","0","0","0"
"ychee","2020-04-09~2020-04-15","70","-50.67%","110","88","273.29%","0","0","0"
"礼盒球球","2020-04-09~2020-04-15","71","-56.25%","7","3","50%","0","0","0.58"
"竹编礼盒","2020-04-09~2020-04-15","72","-58.33%","10","6","100.83%","16.67%","1","0.44"
"鲸喜","2020-04-09~2020-04-15","73","-66.67%","8","3","363.16%","0","0","0"
"闺蜜礼盒","2020-04-09~2020-04-15","74","-82.95%","111","61","61.67%","9.84%","6","0.56"
