"商品信息","店铺名","商品ID","日期","交易金额","访客人数","搜索人数","收藏人数","加购人数","支付转化率","支付人数","客单价","uv价值","搜索占比","收藏率","加购率"
"结婚伴手礼女伴娘创意婚礼回礼伴郎高档礼盒实用节庆百日宴小礼品范安妮原创婚品设计","范安妮原创婚品设计","590138976406","2020-04-09 ~ 2020-04-15","9300","2596","823","110","257","2.89%","75","123.96","3.58","31.7%","4.24%","9.9%"
"ins创意森系网红高档伴手礼男伴郎伴娘礼物男士轻奢礼盒婚礼回礼花田囍礼","花田囍礼","602405471350","2020-04-09 ~ 2020-04-15","9252","1369","805","45","82","1.68%","23","402.27","6.76","58.8%","3.29%","5.99%"
"结婚喜糖回礼盒装成品婚礼伴手女伴娘实用走心礼品盒生日创意商务红妆阁家居旗舰店","红妆阁家居旗舰店","606196060909","2020-04-09 ~ 2020-04-15","9193","669","389","27","65","3.29%","22","417.67","13.74","58.15%","4.04%","9.72%"
"伴手礼女伴娘结婚实用婚礼伴手礼篮子伴郎宾客回礼礼盒手提篮子空Forus婚品设计馆","Forus婚品设计馆","613609455405","2020-04-09 ~ 2020-04-15","9167","3308","2570","250","492","2.96%","98","93.62","2.77","77.69%","7.56%","14.87%"
"莫奈花园伴手礼女伴娘结婚实用高端礼物盒婚礼新娘晨袍起泡酒回礼莫奈花园设计师婚品店","莫奈花园设计师婚品店","605669126639","2020-04-09 ~ 2020-04-15","8841","3246","742","117","88","0.37%","12","736.12","2.72","22.86%","3.6%","2.71%"
"伴手礼女伴娘结婚实用婚礼伴郎闺蜜团小礼品节庆生日满月礼物礼盒布礼半岛私定伴手礼企业店","布礼半岛私定伴手礼企业店","614529489702","2020-04-09 ~ 2020-04-15","8771","1324","666","97","134","5.59%","74","118.51","6.62","50.3%","7.33%","10.12%"
"高档婚礼伴手礼创意化妆箱礼盒结婚闺蜜小礼物伴娘回礼盒生日礼物婚加Marry Plus","婚加Marry Plus","605655681457","2020-04-09 ~ 2020-04-15","8464","680","489","39","51","1.62%","11","768.34","12.45","71.91%","5.74%","7.5%"
"结婚伴手礼女伴娘婚礼小礼品宝宝满月百日宴回礼生日周岁回礼礼盒大黄蜂设计师礼品","大黄蜂设计师礼品","604229673705","2020-04-09 ~ 2020-04-15","8308","1130","853","55","114","2.92%","33","251.79","7.35","75.49%","4.87%","10.09%"
"伴娘伴手礼结婚伴郎实用高档闺蜜团随手礼满月特别少女心生日礼物宋好礼原创礼品店","宋好礼原创礼品店","614372771030","2020-04-09 ~ 2020-04-15","8199","1854","1706","83","151","1.24%","23","356.64","4.42","92.02%","4.48%","8.14%"
"伴手礼结婚实用女伴娘婚礼伴郎小礼品节庆回礼满月酒创意礼盒毛巾萌萌酱の礼品店","萌萌酱の礼品店","614695835285","2020-04-09 ~ 2020-04-15","8154","1496","1427","388","288","2.61%","39","208.83","5.45","95.39%","25.94%","19.25%"
"结婚伴手礼伴娘公司年会定制小礼品满月百日宴回礼生日回礼诞礼盒楠NanCheng一 礼品设计师","楠NanCheng一 礼品设计师","595573490573","2020-04-09 ~ 2020-04-15","8065","1316","473","83","155","3.27%","43","187.41","6.13","35.94%","6.31%","11.78%"
"花子家ins小清新婚礼结婚喜糖盒手提篮小红书创意礼品盒伴手礼花子喜铺","花子喜铺","606560470258","2020-04-09 ~ 2020-04-15","8010","9283","632","970","1069","0.86%","80","100.33","0.86","6.81%","10.45%","11.52%"
"结婚伴手礼女伴娘实用走心礼盒高档婚礼小礼品节庆创意高端小礼物囍糖屋","囍糖屋","612994423006","2020-04-09 ~ 2020-04-15","7680","1043","285","73","87","4.12%","43","178.72","7.36","27.33%","7%","8.34%"
"ins风多肉结婚伴娘香薰伴手礼母亲节高档创意生日商务回礼物盒子泛禧 FANCY","泛禧 FANCY","592909808708","2020-04-09 ~ 2020-04-15","7676","3186","370","105","130","0.66%","21","365.04","2.41","11.61%","3.3%","4.08%"
"爱沫IMO 原创独家 创意结婚伴手礼盒 原创亚克力盒 迪士尼风 高级IMO爱沫婚礼工作室","IMO爱沫婚礼工作室","614083039212","2020-04-09 ~ 2020-04-15","7436","635","502","87","69","0.94%","6","1245.77","11.71","79.06%","13.7%","10.87%"
"保温杯蓝牙音箱移动电源生日礼物送男朋友伴郎伴手礼盒结婚回礼品爱彼力Aiblve原创伴手礼","爱彼力Aiblve原创伴手礼","606704199942","2020-04-09 ~ 2020-04-15","7315","749","685","27","51","2.4%","18","406.93","9.77","91.46%","3.6%","6.81%"
"婚礼伴手礼女伴娘礼盒套装结婚实用走心小礼品手工皂宝宝宴男伴郎一双蝴蝶","一双蝴蝶","593400264457","2020-04-09 ~ 2020-04-15","7154","1419","489","95","126","0.98%","14","514.45","5.04","34.46%","6.69%","8.88%"
"结婚伴手礼女伴娘伴郎礼品宝宝满月酒伴手礼回礼三八妇女王节礼物尚然木艺旗舰店","尚然木艺旗舰店","606874453626","2020-04-09 ~ 2020-04-15","7153","1845","679","66","158","1.08%","20","358.98","3.88","36.8%","3.58%","8.56%"
"结婚闺蜜团伴手礼女伴娘礼盒欧式走心回礼小礼物高档实用创意婚礼花烛笑喜庆用品","花烛笑喜庆用品","606604656458","2020-04-09 ~ 2020-04-15","6975","675","316","29","64","1.63%","11","633.95","10.33","46.81%","4.3%","9.48%"
"结婚婚礼伴手礼女伴娘回礼送员工小礼品实用喜糖礼盒装含成品礼物艾唯一家居专营店","艾唯一家居专营店","605486808171","2020-04-09 ~ 2020-04-15","6891","2043","1419","96","271","2.79%","57","120.9","3.37","69.46%","4.7%","13.26%"
"伴郎伴娘伴手礼女手提篮子编织满月酒百日宴结婚礼盒宝宝周岁创意MIJON 蜜匠喜铺","MIJON 蜜匠喜铺","609171070592","2020-04-09 ~ 2020-04-15","6597","2458","1554","203","306","1.83%","45","146.66","2.68","63.22%","8.26%","12.45%"
"伴手礼宝宝百日宴满月礼盒回礼百天十岁周岁生日礼物满月酒小礼品菲寻礼品之家","菲寻礼品之家","595555327252","2020-04-09 ~ 2020-04-15","6425","757","357","26","96","1.98%","15","428.66","8.49","47.16%","3.43%","12.68%"
"结婚伴手礼女伴娘婚礼回礼生日小礼品高档创意实用生日伴郎礼盒苏胡喜礼","苏胡喜礼","606004477320","2020-04-09 ~ 2020-04-15","6074","802","700","55","118","4.36%","35","173.71","7.57","87.28%","6.86%","14.71%"
"ins小红书爆款唯美手提篮伴手礼盒结婚喜糖盒伴娘伴郎回礼礼品盒花子喜铺","花子喜铺","606903978782","2020-04-09 ~ 2020-04-15","6072","3551","306","184","577","0.39%","14","438.45","1.71","8.62%","5.18%","16.25%"
"结婚晨袍伴娘伴手礼盒婚礼实用少女心创意实用生日礼物闺蜜好姐妹嘻嘻礼","嘻嘻礼","588403547676","2020-04-09 ~ 2020-04-15","6028","1405","860","78","134","1.35%","19","317.81","4.29","61.21%","5.55%","9.54%"
"三笙挚爱结婚婚礼伴郎伴手礼女伴娘实用满月节庆回礼生日创意礼盒三笙挚爱伴手礼","三笙挚爱伴手礼","612597804951","2020-04-09 ~ 2020-04-15","5963","3688","3474","189","374","2.3%","85","70.3","1.62","94.2%","5.12%","10.14%"
"三笙挚爱结婚伴手礼婚礼节庆回礼小礼品高档创意实用女伴娘礼礼盒三笙挚爱伴手礼","三笙挚爱伴手礼","613357779543","2020-04-09 ~ 2020-04-15","5757","1571","1461","110","175","3.31%","52","110.71","3.66","93%","7%","11.14%"
"伴手礼女伴娘男士伴郎生日小礼品回礼结婚满月姐妹团实用婚礼礼盒Anna安娜设计师礼品","Anna安娜设计师礼品","601566353889","2020-04-09 ~ 2020-04-15","5734","2003","571","65","174","1.5%","30","190.85","2.86","28.51%","3.25%","8.69%"
"结婚伴手礼盒女伴娘实用婚礼回礼喜糖礼盒装成品创意喜糖盒子礼物颜语旗舰店","颜语旗舰店","605702391649","2020-04-09 ~ 2020-04-15","5712","5800","1476","222","334","0.7%","41","140.69","0.98","25.45%","3.83%","5.76%"
"伴手礼女伴娘结婚实用婚礼ins风送闺蜜创意走心高档礼盒生日回礼爱布妮旗舰店","爱布妮旗舰店","605650144037","2020-04-09 ~ 2020-04-15","5571","2469","1771","79","274","1.5%","37","150.43","2.26","71.73%","3.2%","11.1%"
"莫奈花园伴手礼女伴娘走心礼盒实用结婚回礼实用婚礼闺蜜高端礼物莫奈花园设计师婚品店","莫奈花园设计师婚品店","606274186809","2020-04-09 ~ 2020-04-15","5493","3808","1714","144","131","0.26%","10","554.8","1.44","45.01%","3.78%","3.44%"
"insMIHE原创田园米白多肉婚礼商务伴娘伴手礼盒成品MIHE Studio","MIHE Studio","612240049976","2020-04-09 ~ 2020-04-15","5316","3111","1045","134","142","0.51%","16","335.05","1.71","33.59%","4.31%","4.56%"
"ins男伴郎伴手礼女伴娘婚礼结婚回礼创意实用兄弟姐妹团闺蜜礼盒花朝玥汐婚品设计","花朝玥汐婚品设计","607443786040","2020-04-09 ~ 2020-04-15","5304","1364","1138","75","100","1.17%","16","332.36","3.89","83.43%","5.5%","7.33%"
"欧式婚礼喜糖盒装伴手礼女伴娘宝宝满月回礼木盒礼品礼物包装盒子珵翔喜品","珵翔喜品","594638949883","2020-04-09 ~ 2020-04-15","5280","2646","282","76","100","0.79%","21","252.59","2","10.66%","2.87%","3.78%"
"伴手礼盒伴手礼女伴娘礼小礼物满月手伴礼伴手礼小礼品结婚男伴郎苏畅家","苏畅家","566587243402","2020-04-09 ~ 2020-04-15","5071","1872","1562","100","207","2.88%","54","94.06","2.71","83.44%","5.34%","11.06%"
"MIHE素简商务婚礼派对活动伴娘伴郎中性伴手礼盒成品MIHE Studio","MIHE Studio","589931880900","2020-04-09 ~ 2020-04-15","5015","1517","843","66","100","0.66%","10","500.89","3.31","55.57%","4.35%","6.59%"
"伴手礼女伴娘结婚婚礼盒高档闺蜜创意实用满月回礼伴郎节庆小礼品伟龙家居专营店","伟龙家居专营店","614781754380","2020-04-09 ~ 2020-04-15","4921","847","772","49","100","6.61%","56","87.9","5.81","91.15%","5.79%","11.81%"
"创意时尚健康浪漫婚礼伴郎伴手礼女伴娘企业活动年会礼品商务定制VIVI设计师礼品","VIVI设计师礼品","594968237832","2020-04-09 ~ 2020-04-15","4879","1489","345","46","70","0.8%","12","409.59","3.28","23.17%","3.09%","4.7%"
"伴手礼盒伴娘伴郎结婚回礼送闺蜜男女友生日礼物实用创意满月礼物宋好礼原创礼品店","宋好礼原创礼品店","612132092526","2020-04-09 ~ 2020-04-15","4761","1334","1015","45","96","1.5%","20","237.93","3.57","76.09%","3.37%","7.2%"
"抖音礼物盒泡沫球小颗粒马卡龙流星球礼盒网红填充物球球圆球盒子见礼如面","见礼如面","607296842632","2020-04-09 ~ 2020-04-15","4652","2570","1957","185","671","11.05%","284","16.38","1.81","76.15%","7.2%","26.11%"
"结婚婚庆家用不锈钢暖壶喜庆保温壶开业满月生日乔迁小礼品伴手礼嘉百年礼品","嘉百年礼品","610204082297","2020-04-09 ~ 2020-04-15","4650","2306","77","172","283","1.82%","42","110.8","2.02","3.34%","7.46%","12.27%"
"结婚伴手礼女伴娘满月回礼节庆年会小礼品实用闺蜜婚礼走心礼盒大黄蜂设计师礼品","大黄蜂设计师礼品","610111538028","2020-04-09 ~ 2020-04-15","4643","1243","644","71","119","2.57%","32","145.34","3.74","51.81%","5.71%","9.57%"
"结婚伴手礼女伴娘宝宝周岁满月节婚庆回礼创意实用生日礼物盒伴郎予你芳华喜礼铺","予你芳华喜礼铺","608382376399","2020-04-09 ~ 2020-04-15","4607","954","516","32","112","3.25%","31","148.59","4.83","54.09%","3.35%","11.74%"
"伴郎伴手礼高档木盒创意实用结婚回礼闺蜜礼品婚礼女伴娘生日礼物艾唯一家居专营店","艾唯一家居专营店","601238204347","2020-04-09 ~ 2020-04-15","4462","1447","548","52","97","1.52%","22","202.87","3.08","37.87%","3.59%","6.7%"
"ins高档伴手礼女伴娘礼物婚礼结婚回礼闺蜜生日高端实用礼盒伴郎范妮范旗舰店","范妮范旗舰店","596962866025","2020-04-09 ~ 2020-04-15","4445","3643","2250","174","246","0.79%","29","154.45","1.22","61.76%","4.78%","6.75%"
"伴手礼女伴娘结婚实用婚礼回礼中国风ins高端礼盒空盒创意小礼品蜜桃手礼","蜜桃手礼","601241078041","2020-04-09 ~ 2020-04-15","4416","864","581","40","61","1.5%","13","340.74","5.11","67.25%","4.63%","7.06%"
"伴手礼女伴娘结婚婚礼小礼品满月回礼生日节庆创意实用喜糖礼盒装范安妮原创婚品设计","范安妮原创婚品设计","613618363202","2020-04-09 ~ 2020-04-15","4139","2642","2068","131","211","2.35%","62","66.66","1.57","78.27%","4.96%","7.99%"
"时尚浪漫婚礼伴郎伴娘伴手礼结婚回礼礼盒装婚庆实用创意成品含糖有样YouYoung礼品","有样YouYoung礼品","609186928722","2020-04-09 ~ 2020-04-15","4070","2360","959","104","216","0.97%","23","177.79","1.72","40.64%","4.41%","9.15%"
"高端结婚伴郎伴手礼女伴娘男士高档实用创意婚礼姐妹团欧式回礼盒RSD高级礼品定制","RSD高级礼品定制","606085733558","2020-04-09 ~ 2020-04-15","4039","1790","912","62","60","0.56%","10","402.93","2.26","50.95%","3.46%","3.35%"
"伴郎伴手礼高档结婚回礼001礼盒高端婚礼商务伴手礼送男朋友礼物婚加Marry Plus","婚加Marry Plus","605622463662","2020-04-09 ~ 2020-04-15","3993","1817","472","51","44","0.33%","6","665.93","2.2","25.98%","2.81%","2.42%"
"伴郎伴手礼男婚礼女伴娘小礼品回礼满月实用伴手礼盒花诗漫伴手礼定制","花诗漫伴手礼定制","596439185450","2020-04-09 ~ 2020-04-15","3830","1541","1009","78","129","1.75%","27","142.02","2.49","65.48%","5.06%","8.37%"
"婚加结婚伴手礼女伴娘创意生日礼物香薰礼盒送闺蜜婚礼回礼婚加Marry Plus","婚加Marry Plus","606000864348","2020-04-09 ~ 2020-04-15","3763","2354","843","66","117","0.34%","8","470.16","1.6","35.81%","2.8%","4.97%"
"创意双层半透明亚克力婚礼伴手礼闺蜜生日礼物盒实用伴娘结婚回礼特薇蒂旗舰店","特薇蒂旗舰店","613707189406","2020-04-09 ~ 2020-04-15","3752","2328","1807","123","151","0.64%","15","251.83","1.61","77.62%","5.28%","6.49%"
"结婚伴手礼女伴娘婚礼回礼篮子送闺蜜生日礼物创意婚礼伴郎礼盒婚加Marry Plus","婚加Marry Plus","605624543305","2020-04-09 ~ 2020-04-15","3707","1797","372","68","77","0.94%","17","219.46","2.06","20.7%","3.78%","4.28%"
"伴手礼结婚实用婚礼女伴娘闺蜜伴郎男回礼礼盒实用高级小礼品木盒景登臻旗舰店","景登臻旗舰店","612074174679","2020-04-09 ~ 2020-04-15","3704","1708","1104","55","107","0.64%","11","338.85","2.17","64.64%","3.22%","6.26%"
"高端男生伴郎伴手礼结婚婚礼兄弟团回礼商务年会新年创意礼品礼盒花朝玥汐婚品设计","花朝玥汐婚品设计","585144275598","2020-04-09 ~ 2020-04-15","3692","852","761","28","60","1.52%","13","285.09","4.33","89.32%","3.29%","7.04%"
"日本樱花蜜 天然樱花蜂蜜百花蜜280g/玻璃瓶装 鲜花酱礼盒装包邮萨丽咔小屋","萨丽咔小屋","590587768728","2020-04-09 ~ 2020-04-15","3666","4560","297","522","475","1.75%","80","45.94","0.8","6.51%","11.45%","10.42%"
"结婚伴手礼女伴娘婚礼喜糖盒宝宝满月伴手礼回礼生日创意实用礼盒heypaper纸遇旗舰店","heypaper纸遇旗舰店","601035784897","2020-04-09 ~ 2020-04-15","3664","958","296","49","82","1.88%","18","203.44","3.82","30.9%","5.11%","8.56%"
"伴娘品牌高端春夏丝绸晨袍伴手礼盒新娘伴娘闺蜜姐妹团女结婚实用伴娘品牌设计师婚品","伴娘品牌设计师婚品","607450016680","2020-04-09 ~ 2020-04-15","3634","1188","877","63","75","0.92%","11","332.49","3.06","73.82%","5.3%","6.31%"
"伴娘伴手礼盒女结婚伴郎走心礼盒创意实用回礼物小礼品花诗漫伴手礼定制","花诗漫伴手礼定制","600508035275","2020-04-09 ~ 2020-04-15","3600","982","748","38","100","2.75%","27","133.31","3.67","76.17%","3.87%","10.18%"
"礼享家复古木盒伴手礼女伴娘婚礼回礼 实用 送女生小礼品生日礼物礼享家Dreamers","礼享家Dreamers","605217117662","2020-04-09 ~ 2020-04-15","3584","2376","450","158","123","0.42%","10","359.15","1.51","18.94%","6.65%","5.18%"
"结婚伴手礼女伴娘满月实用小礼品婚礼节庆男伴郎网红ins回礼闺蜜大黄蜂设计师礼品","大黄蜂设计师礼品","608437798217","2020-04-09 ~ 2020-04-15","3466","1876","271","81","106","0.8%","15","230.94","1.85","14.45%","4.32%","5.65%"
"礼享家2019新品原创森系婚礼伴手礼结婚回礼伴郎伴娘小礼品可定制礼享家Dreamers","礼享家Dreamers","605652016224","2020-04-09 ~ 2020-04-15","3403","913","670","46","76","1.42%","13","262.48","3.73","73.38%","5.04%","8.32%"
"圆形伴手礼盒喜糖盒高档定制结婚礼生日女伴娘礼品手提红色空盒子遇见喜洋洋高端定制","遇见喜洋洋高端定制","590699733450","2020-04-09 ~ 2020-04-15","3264","1259","554","56","118","2.3%","29","112.72","2.59","44%","4.45%","9.37%"
"伴娘伴手礼女结婚礼物回礼品小ins创意闺蜜生日宝宝满月礼盒高端艾唯一家居专营店","艾唯一家居专营店","602216286607","2020-04-09 ~ 2020-04-15","3238","1922","148","73","69","0.52%","10","323.98","1.68","7.7%","3.8%","3.59%"
