"搜索词","日期","热搜排名","搜索人数","点击人数","点击率","支付转化率","支付人数","直通车参考价"
"伴手礼杯子","2020-04-09~2020-04-15","50","212","133","65%","3.01%","4","0.66"
"伴手礼伴郎","2020-04-09~2020-04-15","51","210","164","78.51%","4.27%","7","1.03"
"毛巾礼盒伴手礼","2020-04-09~2020-04-15","52","198","106","57.51%","7.55%","8","1.98"
"伴手礼礼盒高档实用","2020-04-09~2020-04-15","53","194","115","86.17%","6.09%","7","0.85"
"伴手礼小熊","2020-04-09~2020-04-15","54","192","109","86.46%","3.67%","4","0.89"
"男士伴手礼","2020-04-09~2020-04-15","55","191","113","69.86%","1.77%","2","0.58"
"晨袍伴手礼盒","2020-04-09~2020-04-15","56","190","106","78.32%","3.77%","4","0.74"
"木盒礼物盒","2020-04-09~2020-04-15","57","187","107","67.93%","0","0","0.65"
"生日回礼","2020-04-09~2020-04-15","58","182","91","74.48%","1.1%","1","1.19"
"樱花蜜","2020-04-09~2020-04-15","59","179","72","47.9%","0","0","0.29"
"结婚伴娘伴手礼","2020-04-09~2020-04-15","60","176","96","58.24%","11.46%","11","1.08"
"伴娘礼物回礼 结婚高档","2020-04-09~2020-04-15","61","175","104","68.92%","1.92%","2","1.14"
"伴手礼盒篮子","2020-04-09~2020-04-15","62","171","120","87.68%","3.33%","4","0.37"
"伴手礼男","2020-04-09~2020-04-15","64","166","110","64.21%","4.55%","5","0.7"
"南方手作礼","2020-04-09~2020-04-15","63","166","123","142.05%","3.25%","4","0"
"桃红家伴手礼","2020-04-09~2020-04-15","65","165","121","205.52%","0.83%","1","1.08"
"伴娘杯子","2020-04-09~2020-04-15","66","156","97","53.61%","2.06%","2","0.48"
"泡沫球礼盒","2020-04-09~2020-04-15","67","155","88","73.32%","4.55%","4","0.71"
"伴手礼结婚 实用 婚礼 高档","2020-04-09~2020-04-15","68","153","93","94.09%","11.83%","11","0.83"
"手工皂伴手礼","2020-04-09~2020-04-15","69","149","97","84.42%","3.09%","3","0.33"
"伴郎伴手礼盒","2020-04-09~2020-04-15","72","145","93","71.02%","7.53%","7","0.91"
"伴手礼锅","2020-04-09~2020-04-15","71","145","129","92.06%","1.55%","2","0.43"
"伴手礼伴娘","2020-04-09~2020-04-15","70","145","116","98.02%","7.76%","9","1"
"樱花花蜜","2020-04-09~2020-04-15","73","142","88","77.88%","2.27%","2","0"
"伴手礼女伴郎","2020-04-09~2020-04-15","74","140","93","78.03%","5.38%","5","1.12"
"ychee旗舰店","2020-04-09~2020-04-15","75","138","110","212.03%","0.91%","1","0"
"伴手礼伴郎 男士","2020-04-09~2020-04-15","77","136","100","69.94%","3%","3","1.07"
"伴娘手办礼盒","2020-04-09~2020-04-15","76","136","74","70.26%","1.35%","1","0.94"
"流星球泡沫","2020-04-09~2020-04-15","78","135","86","69.89%","6.98%","6","0.51"
"樱花蜂蜜","2020-04-09~2020-04-15","79","132","100","120.54%","6%","6","0.17"
"手办礼伴娘","2020-04-09~2020-04-15","82","129","91","74.51%","3.3%","3","1.23"
"高端伴手礼","2020-04-09~2020-04-15","81","129","210","189.91%","3.81%","8","0.61"
"礼袋装礼物","2020-04-09~2020-04-15","80","129","56","41.77%","1.79%","1","1.34"
"亚克力礼盒","2020-04-09~2020-04-15","83","126","95","92.97%","2.11%","2","0.53"
"手伴","2020-04-09~2020-04-15","84","125","60","77.48%","0","0","0.22"
"三千鸦杀电视剧","2020-04-09~2020-04-15","86","124","21","24.61%","0","0","0.34"
"姐妹团伴手礼","2020-04-09~2020-04-15","85","124","122","115.22%","0.82%","1","1"
"结婚伴手礼小礼品","2020-04-09~2020-04-15","87","123","74","87.38%","6.76%","5","1.05"
"特薇蒂旗舰店","2020-04-09~2020-04-15","88","120","93","250.86%","0","0","0"
"泡面锅伴手礼","2020-04-09~2020-04-15","89","119","101","114.8%","10.89%","11","0.2"
"伴娘回礼礼盒","2020-04-09~2020-04-15","90","118","92","106.79%","9.78%","9","0.72"
"婚礼礼物 闺蜜 实用","2020-04-09~2020-04-15","92","115","41","32.39%","2.44%","1","0.83"
"花茶伴手礼","2020-04-09~2020-04-15","91","115","79","84.44%","5.06%","4","0.48"
"鲸喜手礼","2020-04-09~2020-04-15","94","114","81","175.86%","0","0","0.88"
"伴郎伴手礼 男士","2020-04-09~2020-04-15","93","114","87","71.7%","6.9%","6","1.07"
"森系伴手礼","2020-04-09~2020-04-15","95","113","77","91.68%","1.3%","1","0.56"
"伴郎回礼礼盒","2020-04-09~2020-04-15","97","112","67","99.66%","7.46%","5","1.4"
"mihe","2020-04-09~2020-04-15","96","112","79","172.46%","0","0","0"
"闺蜜礼盒","2020-04-09~2020-04-15","99","111","61","61.67%","9.84%","6","0.56"
"伴娘伴郎伴手礼","2020-04-09~2020-04-15","98","111","87","108.89%","2.3%","2","0.84"
"imo","2020-04-09~2020-04-15","103","110","12","42.15%","0","0","0"
"伴手礼结婚","2020-04-09~2020-04-15","102","110","62","71.99%","6.45%","4","1.02"
"ychee","2020-04-09~2020-04-15","101","110","88","273.29%","0","0","0"
"born to love","2020-04-09~2020-04-15","100","110","79","156.02%","1.27%","1","0"
"玛姬蔻","2020-04-09~2020-04-15","106","109","49","97.07%","8.16%","4","0"
"泡沫流星球","2020-04-09~2020-04-15","105","109","79","72.1%","3.8%","3","0.51"
"伴郎礼盒","2020-04-09~2020-04-15","104","109","70","68.92%","0","0","0.67"
"商务伴手礼","2020-04-09~2020-04-15","107","107","92","98.84%","11.96%","11","1.49"
"伴手礼女","2020-04-09~2020-04-15","108","106","68","86.7%","7.35%","5","0.86"
"手礼盒 伴手礼","2020-04-09~2020-04-15","110","105","50","59.37%","0","0","1.93"
"伴手礼结婚小礼物","2020-04-09~2020-04-15","109","105","52","84.58%","21.15%","11","1.05"
"结婚伴手礼高端","2020-04-09~2020-04-15","111","103","65","86.11%","6.15%","4","1.01"
"伴娘伴手礼定制","2020-04-09~2020-04-15","114","102","44","53.75%","6.82%","3","0"
"伴手礼 伴娘伴手礼","2020-04-09~2020-04-15","113","102","55","74.29%","5.45%","3","0.5"
"伴郎礼物","2020-04-09~2020-04-15","112","102","71","67.38%","4.23%","3","0.82"
"拌手礼","2020-04-09~2020-04-15","116","101","44","69.53%","15.91%","7","0"
"男生伴手礼","2020-04-09~2020-04-15","115","101","81","79.17%","1.23%","1","0.47"
"礼享家","2020-04-09~2020-04-15","117","99","38","55.1%","0","0","0"
"泡沫球填充物","2020-04-09~2020-04-15","119","96","36","54.47%","8.33%","3","0.48"
"礼聿喜品","2020-04-09~2020-04-15","118","96","82","180.51%","2.44%","2","0"
"婚礼回礼物送客人","2020-04-09~2020-04-15","121","91","53","58.02%","1.89%","1","0"
"结婚回礼礼盒套装","2020-04-09~2020-04-15","120","91","62","79.7%","3.23%","2","1.03"
"小熊毛巾伴手礼","2020-04-09~2020-04-15","122","90","66","82.32%","4.55%","3","0.63"
"创意伴手礼","2020-04-09~2020-04-15","123","88","60","108.2%","38.33%","23","1.13"
"办手礼","2020-04-09~2020-04-15","124","86","32","52.1%","0","0","0"
"imo爱沫婚礼工作室","2020-04-09~2020-04-15","126","85","46","117.03%","0","0","0"
"婚礼小礼品","2020-04-09~2020-04-15","125","85","41","53.35%","0","0","0.86"
"伴手礼小礼品 结婚 实用","2020-04-09~2020-04-15","130","84","46","63.59%","4.35%","2","0.67"
"山茶花扩香摆件","2020-04-09~2020-04-15","129","84","84","100%","0","0","0"
"伴手礼女伴娘礼盒","2020-04-09~2020-04-15","128","84","53","69.21%","11.32%","6","1.03"
"治愈系小朋友","2020-04-09~2020-04-15","127","84","44","104.85%","9.09%","4","0"
"姿芷蛇腰女王","2020-04-09~2020-04-15","132","83","69","72.87%","0","0","0"
"生日回礼礼品 实用","2020-04-09~2020-04-15","131","83","42","100.33%","2.38%","1","1.59"
"礼盒泡沫球","2020-04-09~2020-04-15","133","82","54","78.45%","12.96%","7","0.82"
"亚克力伴手礼","2020-04-09~2020-04-15","137","80","74","123.53%","2.7%","2","0.43"
"伴手礼女伴娘走心礼盒","2020-04-09~2020-04-15","136","80","39","89.63%","2.56%","1","0.67"
"手礼","2020-04-09~2020-04-15","135","80","32","118.11%","3.13%","1","0.67"
"伴娘手礼","2020-04-09~2020-04-15","134","80","49","71.57%","2.04%","1","0.77"
"伴娘礼物回礼 结婚 实用","2020-04-09~2020-04-15","139","78","42","68.63%","7.14%","3","0.56"
"百天礼物伴手礼","2020-04-09~2020-04-15","138","78","28","45.23%","0","0","0"
"生日伴手礼","2020-04-09~2020-04-15","141","77","48","70.79%","0","0","1.03"
"石膏立体","2020-04-09~2020-04-15","140","77","75","94.05%","0","0","0"
"rsd studio","2020-04-09~2020-04-15","143","75","52","235.28%","0","0","0"
"五一活动","2020-04-09~2020-04-15","142","75","15","36.15%","0","0","0"
"樱花蜂蜜酱","2020-04-09~2020-04-15","144","74","41","62.62%","2.44%","1","0.6"
"伴手礼木盒","2020-04-09~2020-04-15","145","73","53","84.43%","1.89%","1","1.1"
"杯子伴手礼","2020-04-09~2020-04-15","147","72","36","54.2%","0","0","0.62"
"菲礼装饰","2020-04-09~2020-04-15","146","72","22","34.72%","0","0","0"
"rsd高级礼品定制","2020-04-09~2020-04-15","150","71","49","173.64%","2.04%","1","0"
"半手礼","2020-04-09~2020-04-15","149","71","18","56.61%","0","0","0"
"中式伴手礼","2020-04-09~2020-04-15","148","71","61","96.45%","1.64%","1","0.62"
"有样youyoung礼品","2020-04-09~2020-04-15","151","69","52","230.27%","0","0","0"
"伴娘随手礼","2020-04-09~2020-04-15","152","68","45","70.59%","6.67%","3","0.76"
"婚礼礼品送宾客","2020-04-09~2020-04-15","155","67","34","53.07%","0","0","0"
"宾客伴手礼","2020-04-09~2020-04-15","154","67","38","83.57%","0","0","0.45"
"伴伴","2020-04-09~2020-04-15","153","67","2","1.43%","0","0","0"
"闺蜜伴手礼","2020-04-09~2020-04-15","157","66","60","80.2%","3.33%","2","1.01"
"新娘伴手礼实用 结婚","2020-04-09~2020-04-15","156","66","42","68.67%","4.76%","2","0.56"
"猪柿顺利锅","2020-04-09~2020-04-15","160","65","55","104%","0","0","0"
"手伴礼","2020-04-09~2020-04-15","159","65","30","72.76%","3.33%","1","0.99"
"伴手礼小礼品 创意","2020-04-09~2020-04-15","158","65","32","64.18%","9.38%","3","0.91"
"伴手礼篮子 编织 手提","2020-04-09~2020-04-15","162","64","43","97.55%","4.65%","2","0"
"蜜匠喜铺","2020-04-09~2020-04-15","161","64","35","90.57%","5.71%","2","0"
"新婚伴手礼","2020-04-09~2020-04-15","164","63","39","77.97%","0","0","0.64"
"百露伴手礼","2020-04-09~2020-04-15","163","63","29","32.73%","0","0","2.75"
"纸品星球","2020-04-09~2020-04-15","165","62","50","206.1%","0","0","0"
"婚加marry plus","2020-04-09~2020-04-15","168","61","36","194.78%","2.78%","1","0"
"礼篮","2020-04-09~2020-04-15","167","61","35","86.89%","0","0","0.45"
"伴手","2020-04-09~2020-04-15","166","61","16","39.13%","0","0","0.26"
"宝宝百日宴伴手礼","2020-04-09~2020-04-15","169","60","39","101.71%","5.13%","2","1.14"
"法师多肉套餐","2020-04-09~2020-04-15","170","59","41","107.05%","0","0","0.15"
"伴手礼篮","2020-04-09~2020-04-15","172","58","38","79.09%","5.26%","2","0.86"
"毛巾结婚回礼伴手礼","2020-04-09~2020-04-15","171","58","24","34.85%","0","0","0.88"
"初恋婚品","2020-04-09~2020-04-15","179","57","29","66.11%","0","0","0.81"
"伴手礼欧舒丹","2020-04-09~2020-04-15","178","57","43","145.57%","0","0","1.05"
"结婚礼盒伴手礼","2020-04-09~2020-04-15","177","57","34","54.98%","0","0","0.93"
"回手礼","2020-04-09~2020-04-15","176","57","25","64.62%","0","0","0"
"喜的良品旗舰店","2020-04-09~2020-04-15","175","57","38","241.14%","2.63%","1","0"
"满月伴手礼 创意 实用","2020-04-09~2020-04-15","174","57","29","65.63%","0","0","0"
"马卡龙泡沫球","2020-04-09~2020-04-15","173","57","36","58.79%","5.56%","2","0.37"
"宝宝满月伴手礼回礼盒","2020-04-09~2020-04-15","183","56","27","41.74%","0","0","1.79"
"大象造物","2020-04-09~2020-04-15","182","56","37","138.27%","0","0","0"
"新郎伴手礼","2020-04-09~2020-04-15","181","56","33","55.34%","6.06%","2","1.15"
"小欢欢huanhuan","2020-04-09~2020-04-15","180","56","32","108%","0","0","0"
"篮子伴手礼","2020-04-09~2020-04-15","189","55","50","148.38%","2%","1","0.6"
"伴手礼女伴娘杯子","2020-04-09~2020-04-15","188","55","32","85.71%","0","0","0"
"姐妹伴手礼","2020-04-09~2020-04-15","187","55","37","74.76%","0","0","1.69"
"伴手礼手提篮","2020-04-09~2020-04-15","186","55","36","84.89%","5.56%","2","0.9"
"伴手礼盒子结婚创意","2020-04-09~2020-04-15","185","55","27","73.8%","0","0","0.44"
"婚礼手办礼","2020-04-09~2020-04-15","184","55","18","40%","0","0","0"
"伴手礼女伴娘欧舒丹 结婚","2020-04-09~2020-04-15","191","54","45","193.24%","28.89%","13","0"
"抖音礼盒泡沫球","2020-04-09~2020-04-15","190","54","28","35.98%","0","0","0.47"
"伴手礼结婚 实用 婚礼中国风","2020-04-09~2020-04-15","194","53","30","73.26%","6.67%","2","0.4"
"礼盒篮子","2020-04-09~2020-04-15","193","53","39","62.25%","0","0","0.73"
"伴手礼结婚 实用 婚礼 回礼","2020-04-09~2020-04-15","192","53","26","79.28%","0","0","0.5"
"茉萘高定伴手礼","2020-04-09~2020-04-15","200","52","39","71.73%","2.56%","1","0"
"上下茶叶礼盒","2020-04-09~2020-04-15","199","52","26","144.04%","0","0","0"
"特薇蒂","2020-04-09~2020-04-15","198","52","40","303.9%","2.5%","1","0"
"小u瓶","2020-04-09~2020-04-15","197","52","1","2.35%","0","0","0"
"姿芷蛇腰","2020-04-09~2020-04-15","196","52","34","51.31%","0","0","0"
"伴手礼结婚 实用 婚礼 创意","2020-04-09~2020-04-15","195","52","32","55.88%","3.13%","1","0.57"
"伴手礼盒空盒伴娘森系","2020-04-09~2020-04-15","203","51","29","84.5%","3.45%","1","0.47"
"伴手礼晨袍礼盒","2020-04-09~2020-04-15","202","51","44","121.1%","2.27%","1","1.58"
"伴娘伴郎回礼礼盒","2020-04-09~2020-04-15","201","51","34","83.84%","2.94%","1","1.09"
"伴郎伴娘伴手礼","2020-04-09~2020-04-15","205","50","37","82.6%","2.7%","1","0.8"
"淡水间","2020-04-09~2020-04-15","204","50","36","246.58%","2.78%","1","0"
"新娘伴手礼盒 高档","2020-04-09~2020-04-15","207","49","28","58.74%","7.14%","2","0.41"
"蜜之果","2020-04-09~2020-04-15","206","49","17","47.12%","5.88%","1","0"
"花茶礼盒伴手礼","2020-04-09~2020-04-15","213","47","27","70.94%","3.7%","1","0.82"
"伴手礼篮子 编织","2020-04-09~2020-04-15","212","47","32","76.62%","6.25%","2","0"
"beehoney蜜之秘","2020-04-09~2020-04-15","211","47","35","91.19%","0","0","0"
"伴手礼男士礼盒","2020-04-09~2020-04-15","210","47","34","76.27%","2.94%","1","1.25"
"伴手礼男伴郎实用","2020-04-09~2020-04-15","209","47","29","54.32%","10.34%","3","0"
"伴娘手礼盒一套","2020-04-09~2020-04-15","208","47","29","56.81%","3.45%","1","0.5"
"伴手礼礼盒高档实用伴娘","2020-04-09~2020-04-15","217","46","30","107.92%","3.33%","1","0"
"结婚伴手礼泡面锅","2020-04-09~2020-04-15","216","46","33","81.87%","0","0","0"
"高档伴手礼","2020-04-09~2020-04-15","215","46","29","61.65%","3.45%","1","1.36"
"伴娘礼物 伴手礼","2020-04-09~2020-04-15","214","46","30","63.26%","0","0","0.43"
"婚礼伴手礼礼盒高端","2020-04-09~2020-04-15","223","45","28","84.3%","0","0","0.91"
"喜蜜 伴手礼","2020-04-09~2020-04-15","222","45","35","107.74%","14.29%","5","1.16"
"回礼礼品实用 生日 满月","2020-04-09~2020-04-15","221","45","22","52.75%","0","0","1.25"
"生日伴手礼回礼 儿童","2020-04-09~2020-04-15","220","45","32","68.86%","0","0","0.93"
"闺蜜伴手礼盒 婚礼","2020-04-09~2020-04-15","219","45","31","78.39%","6.45%","2","0.28"
"伴手礼结婚回礼闺蜜 欧式","2020-04-09~2020-04-15","218","45","25","52.38%","0","0","0.51"
"茶具伴手礼","2020-04-09~2020-04-15","224","44","29","61.64%","3.45%","1","1.34"
"欧舒丹礼盒伴手礼","2020-04-09~2020-04-15","227","43","26","98.22%","0","0","0"
"伴郎礼盒 伴手礼","2020-04-09~2020-04-15","226","43","34","80.33%","0","0","1.3"
"月子礼盒回礼 满月","2020-04-09~2020-04-15","225","43","26","44.05%","0","0","2.37"
"伴娘伴手礼小礼物 姐妹","2020-04-09~2020-04-15","232","42","17","40.94%","5.88%","1","0.24"
"beehoney","2020-04-09~2020-04-15","231","42","24","50.88%","0","0","0"
"网红伴手礼","2020-04-09~2020-04-15","230","42","19","84.57%","0","0","0.77"
"伴郎礼物回礼","2020-04-09~2020-04-15","229","42","34","63.69%","2.94%","1","1.18"
"喜礼","2020-04-09~2020-04-15","228","42","23","90.24%","0","0","0"
"伴手礼单品","2020-04-09~2020-04-15","237","41","32","113.46%","3.13%","1","0"
"伴手礼实用","2020-04-09~2020-04-15","236","41","40","142.26%","5%","2","1.52"
"生日伴手礼 十 岁","2020-04-09~2020-04-15","235","41","30","127.85%","3.33%","1","1.55"
"伴手礼保温杯","2020-04-09~2020-04-15","234","41","31","54.26%","6.45%","2","0.62"
"猪事顺利锅","2020-04-09~2020-04-15","233","41","27","133.33%","0","0","0"
"蒸笼伴手礼","2020-04-09~2020-04-15","240","40","28","100.42%","0","0","0.39"
"饼诞","2020-04-09~2020-04-15","239","40","40","100%","0","0","0"
"伴郎伴手礼实用","2020-04-09~2020-04-15","238","40","25","75.15%","8%","2","0.52"
"伴手礼高端","2020-04-09~2020-04-15","242","39","56","147.39%","3.57%","2","0.74"
"婚礼定制","2020-04-09~2020-04-15","241","39","20","72.41%","5%","1","2.06"
"rolax礼品","2020-04-09~2020-04-15","251","38","1","1.18%","0","0","0"
"结婚回礼小礼品","2020-04-09~2020-04-15","250","38","19","54.48%","0","0","0.61"
"男士礼盒高档生日","2020-04-09~2020-04-15","249","38","15","32.81%","0","0","2.39"
"婚礼小物","2020-04-09~2020-04-15","248","38","24","70.64%","4.17%","1","1.04"
"木盒伴手礼","2020-04-09~2020-04-15","247","38","33","110.66%","0","0","1.09"
"回手礼盒","2020-04-09~2020-04-15","246","38","24","82.14%","4.17%","1","0.76"
"lovelily设计师婚品","2020-04-09~2020-04-15","245","38","29","198.06%","0","0","0"
"礼物盒泡沫球","2020-04-09~2020-04-15","244","38","27","68.83%","14.81%","4","0.89"
"保险公司礼品","2020-04-09~2020-04-15","243","38","22","85.34%","31.82%","7","1.15"
"结婚随手礼","2020-04-09~2020-04-15","257","37","17","52.9%","0","0","0"
"百岁宴伴手礼","2020-04-09~2020-04-15","256","37","11","42.68%","0","0","2.87"
"婚礼回礼","2020-04-09~2020-04-15","255","37","28","102%","10.71%","3","0.74"
"伴手礼花茶","2020-04-09~2020-04-15","254","37","28","102.17%","3.57%","1","0.48"
"周岁回礼礼品 伴手礼","2020-04-09~2020-04-15","253","37","30","92.91%","10%","3","1.34"
"伴手礼结婚 实用 婚礼 伴娘","2020-04-09~2020-04-15","252","37","18","80%","0","0","0.48"
"周岁回礼礼品实用","2020-04-09~2020-04-15","266","36","25","68.18%","0","0","2.31"
"伴手礼毛巾小熊","2020-04-09~2020-04-15","265","36","30","100%","10%","3","0.67"
"蛇腰女王","2020-04-09~2020-04-15","264","36","31","72.09%","3.23%","1","0"
"满月礼品","2020-04-09~2020-04-15","263","36","13","30.19%","0","0","1.29"
"礼享家dreamers","2020-04-09~2020-04-15","262","36","26","176%","0","0","0"
"礼盒流星球","2020-04-09~2020-04-15","261","36","24","46.48%","12.5%","3","0.84"
"伴手礼竹篮","2020-04-09~2020-04-15","260","36","32","103.62%","3.13%","1","0.52"
"伴娘礼盒套装","2020-04-09~2020-04-15","259","36","29","99.04%","0","0","0.35"
"宝宝周岁礼物实用","2020-04-09~2020-04-15","258","36","9","23.96%","0","0","0"
"伴手礼套盒","2020-04-09~2020-04-15","272","35","22","86.34%","0","0","0"
"生日伴手礼回礼","2020-04-09~2020-04-15","271","35","17","62.26%","5.88%","1","2.09"
"伴手礼酒","2020-04-09~2020-04-15","270","35","17","68.55%","5.88%","1","0.94"
"手办礼盒 结婚 伴手礼","2020-04-09~2020-04-15","269","35","19","60.9%","5.26%","1","0.47"
"密之果小u瓶","2020-04-09~2020-04-15","268","35","31","104%","12.9%","4","0"
"提篮伴手礼盒","2020-04-09~2020-04-15","267","35","15","88.89%","0","0","0"
"十岁伴手礼","2020-04-09~2020-04-15","274","34","23","84.58%","0","0","1.02"
"borntolove","2020-04-09~2020-04-15","273","34","4","32.95%","0","0","0"
"幸福小伴","2020-04-09~2020-04-15","276","33","4","17.05%","0","0","0"
"实用伴手礼","2020-04-09~2020-04-15","275","33","31","147.62%","12.9%","4","1.26"
"新娘伴手礼 礼物 高档","2020-04-09~2020-04-15","282","32","16","51.06%","0","0","0.49"
"伴手礼 婚礼伴手礼","2020-04-09~2020-04-15","281","32","21","67.79%","4.76%","1","0.03"
"小罐花茶 伴手礼","2020-04-09~2020-04-15","280","32","17","83.49%","5.88%","1","0"
"晨袍伴手礼","2020-04-09~2020-04-15","279","32","27","116.67%","3.7%","1","0.82"
"结婚回礼实用","2020-04-09~2020-04-15","278","32","21","66.18%","0","0","1.5"
"伴手礼礼盒装","2020-04-09~2020-04-15","277","32","19","77.84%","0","0","1.25"
"爱沫 imo","2020-04-09~2020-04-15","286","31","22","140.23%","0","0","0"
"男士伴手礼 礼盒","2020-04-09~2020-04-15","285","31","21","67.53%","4.76%","1","1.25"
"伴手礼小礼品便宜","2020-04-09~2020-04-15","284","31","15","69.42%","6.67%","1","0"
"红妆阁","2020-04-09~2020-04-15","283","31","22","110.43%","13.64%","3","0"
"nhm","2020-04-09~2020-04-15","289","30","14","107.21%","0","0","0"
"jixi","2020-04-09~2020-04-15","288","30","0","0","0","0","0"
"伴娘伴手礼篮子","2020-04-09~2020-04-15","287","30","24","107.34%","8.33%","2","0"
"宝宝百岁宴伴手礼","2020-04-09~2020-04-15","298","29","9","61.6%","0","0","0"
"伴手礼茶","2020-04-09~2020-04-15","297","29","11","53.42%","0","0","0"
"随手礼盒","2020-04-09~2020-04-15","296","29","12","39.42%","0","0","0"
"springkle春色","2020-04-09~2020-04-15","295","29","17","161.76%","0","0","0"
"only day","2020-04-09~2020-04-15","294","29","15","126.83%","0","0","0"
"伴娘伴手礼 伴娘礼物","2020-04-09~2020-04-15","293","29","15","107%","0","0","0"
"花子喜铺","2020-04-09~2020-04-15","292","29","23","305.05%","4.35%","1","0"
"结婚伴娘伴郎伴手礼回礼盒","2020-04-09~2020-04-15","291","29","18","78.71%","0","0","0.57"
